Date_measurement,Version,Date_of_report,RWZI_AWZI_code,RWZI_AWZI_name,RNA_flow_per_100000
2020-03-30,2,2022-06-07,32002,Tilburg,34621959326395.0
2020-03-31,2,2022-06-07,3010,Assen,41199039310795.0
2020-03-31,2,2022-06-07,1033,Garmerwolde,10473596079208.0
2020-03-31,2,2022-06-07,2011,Leeuwarden,11002680177775.0
2020-03-31,2,2022-06-07,1008,Stadskanaal,3802954816430.0
2020-03-31,2,2022-06-07,10009,Utrecht,33790681909360.0
2020-03-31,2,2022-06-07,4026,Zwolle,14402722883135.0
2020-04-01,2,2022-06-07,3028,Sleen,11888956105229.0
2020-04-01,2,2022-06-07,5012,Oldenzaal,36469371251746.0
2020-04-01,2,2022-06-07,13030,Leimuiden,39135895149271.0
2020-04-01,2,2022-06-07,25027,Lage Zwaluwe,16122670245477.0
2020-04-01,2,2022-06-07,23002,Terneuzen,19009676666921.0
2020-04-01,2,2022-06-07,13010,Haarlem Waarderpolder,49555598868235.0
2020-04-01,2,2022-06-07,7022,Etten,52870786922025.0
2020-04-01,2,2022-06-07,9016,Arnhem,17504194634803.0
2020-04-01,2,2022-06-07,25020,Kaatsheuvel,41776486073426.0
2020-04-02,2,2022-06-07,12022,Beverwijk,22305803791361.0
2020-04-02,2,2022-06-07,30007,Bosscherveld,67106079012054.0
2020-04-02,2,2022-06-07,30020,Venray,35062440623178.0
2020-04-05,2,2022-06-07,4027,Tollebeek,26338223286963.0
2020-04-05,2,2022-06-07,23002,Terneuzen,33012360584917.0
2020-04-05,2,2022-06-07,6004,Lelystad,12516403381928.0
2020-04-05,2,2022-06-07,29003,Land Van Cuijk,134811107889684.0
2020-04-05,2,2022-06-07,10027,Amersfoort,21897432092673.0
2020-04-05,2,2022-06-07,27008,S Hertogenbosch,33102186193336.0
2020-04-06,2,2022-06-07,28005,Dinther,90126417037159.0
2020-04-06,2,2022-06-07,32002,Tilburg,4448715679942.0
2020-04-07,2,2022-06-07,10009,Utrecht,25732683753811.0
2020-04-07,2,2022-06-07,4026,Zwolle,29129223139652.0
2020-04-07,2,2022-06-07,21001,Walcheren,21504995441810.0
2020-04-07,2,2022-06-07,13030,Leimuiden,20324498495633.0
2020-04-07,2,2022-06-07,1008,Stadskanaal,635637147167.0
2020-04-07,2,2022-06-07,13010,Haarlem Waarderpolder,48955544146870.0
